FirstName,LastName,UserName,Department,Password
Alexander,Ragnarsson,AleRag,IT,abc
Andrea,Klara,AndKla,IT,abc
Guðmundur,Steindórsson,GudSte,Management,abc
Halldór,Jónsson,HalJon,Management,abc
Harpa,Hjaltested,HarHja,Management,abc
Hrannar,Arason,HraAra,Accounting,abc
Ingibjörg.Guðlaugsdóttir,IngGud,Accounting,abc
Ísak,Leifsson,IsaLei,Manufacturing,abc
Jóhanna,Hafsteinsdóttir,JohHaf,Manufacturing,abc
Kristján,Svanbergsson,KriSva,Manufacturing,abc
Lárus,Gunnarsson,LarGun,Manufacturing,abc
Linda,Magnúsdóttir,LinMag,Manufacturing,abc
Rúdolf,Björnsson,RudBjo,Manufacturing,abc
Sigurbjörg,Stefánsdóttir,SigSte,abc
Sigrún,Jensdóttir,SigJen,abc
